# FCI-FPGA FoM wizard dataset, derived from Zenodo record 8037239
# See data/zenodo_to_gui_csv.py for exactly how energy_long/fci/psd were derived
# (fci is 1 - Zenodo's own FCI column; psd is computed here, not published)
energy_long,fci,psd
13808.3,0.113842,0.570501
15564.7,0.119373,0.5611
26473.7,0.109831,0.581232
5977,0.127402,0.541743
7831.67,0.144393,0.631581
26960.7,0.0966641,0.572958
14412.3,0.103021,0.574693
17504.3,0.090444,0.590749
10667.3,0.138225,0.585963
8685.33,0.133551,0.559641
14034.7,0.110159,0.55693
15216.3,0.122557,0.578961
26384.7,0.108748,0.573338
20556.7,0.124641,0.588876
12443.3,0.110064,0.587597
8049.33,0.143466,0.633676
16639.7,0.111426,0.546906
20880,0.108641,0.601868
18428,0.110005,0.575971
6990,0.141771,0.593276
26157.7,0.117616,0.585348
19653.7,0.0954055,0.574057
7783.67,0.131489,0.601302
17410,0.0969533,0.586445
5752,0.136606,0.589882
28138.3,0.105947,0.593023
8839.67,0.124907,0.599268
13103.7,0.116438,0.618173
9166,0.138567,0.570587
18466.3,0.127324,0.584722
13448.7,0.107698,0.585733
27884.7,0.102435,0.590336
10247,0.113798,0.578316
14154.3,0.109567,0.614276
17667.3,0.113204,0.605053
25065.3,0.10338,0.599181
5358.33,0.16247,0.626252
25625.7,0.0857222,0.585129
23721.7,0.0818405,0.56591
17980,0.100436,0.574694
7824.67,0.124736,0.598279
13433.7,0.127949,0.566065
18702.3,0.0914843,0.578787
25704,0.103743,0.593176
9489.33,0.10901,0.590101
12779.7,0.112507,0.630246
16755.3,0.121646,0.619604
11048,0.114117,0.568429
8610.33,0.119825,0.577059
13027,0.110096,0.586935
6034,0.151463,0.631753
8117.67,0.127212,0.573851
17995.7,0.110809,0.585715
7620.67,0.116172,0.548946
8797.33,0.113629,0.588663
17715.3,0.117815,0.603244
17762.7,0.106637,0.579549
4380.33,0.18521,0.618142
9599.67,0.129049,0.578076
16910,0.127208,0.5877
12559.7,0.127004,0.572892
17734.7,0.105701,0.597493
11876.3,0.113053,0.566645
25886.3,0.100716,0.592192
12492.3,0.119699,0.603463
8767.33,0.119801,0.570945
19496.7,0.101539,0.586271
19494.7,0.106652,0.60526
15058.3,0.10189,0.582911
6226.33,0.162388,0.593394
10311,0.116149,0.613907
11832.3,0.108416,0.593092
6426.33,0.160117,0.572125
7567.67,0.14477,0.601022
19309.3,0.107588,0.571882
18796,0.109612,0.579325
12983.7,0.0906704,0.564966
16622.7,0.091439,0.585726
20798.3,0.0929111,0.610946
9372.33,0.117694,0.585838
5643,0.21095,0.600744
14234,0.12801,0.583532
27431.3,0.10217,0.584757
6807.33,0.151969,0.585055
12308,0.0995605,0.595385
17934,0.0984678,0.560444
9151.67,0.103403,0.578947
18721.7,0.0980678,0.554562
17492.3,0.100245,0.585952
16772,0.123074,0.573635
8296.33,0.165976,0.61939
13087,0.0961679,0.562849
16119.3,0.0908127,0.605587
6882.67,0.14271,0.584124
13492.7,0.11737,0.578413
5266.67,0.158884,0.62057
8872.67,0.123378,0.572019
9269.67,0.113867,0.576001
21421,0.113241,0.589328
8656.33,0.119995,0.556664
5063,0.195746,0.604385
10273.3,0.10858,0.602206
8288.67,0.132224,0.563822
25940.7,0.0991511,0.585965
16767,0.0973839,0.574999
17721.3,0.0917515,0.589722
13472.3,0.12454,0.570478
27180.7,0.103566,0.583552
25855,0.0889974,0.579385
10791.3,0.102067,0.552357
20243.7,0.0925466,0.592646
14248.7,0.114664,0.623731
8648.67,0.133765,0.572728
5677,0.156771,0.58693
10120.3,0.125091,0.609532
8964.67,0.113175,0.596378
24408,0.103592,0.569936
11646.3,0.115871,0.608146
9046.33,0.133818,0.550684
23049,0.10908,0.574559
14598,0.113089,0.568366
8448,0.117619,0.574455
8839.67,0.0973257,0.579924
13891,0.115162,0.599885
7063.67,0.127774,0.588693
5747,0.156567,0.592483
16527.3,0.108255,0.584345
8286.33,0.131658,0.609276
19264.3,0.103999,0.592061
17621,0.115334,0.616253
4577.67,0.169404,0.591422
27079.3,0.107514,0.582314
7583,0.138062,0.571937
7813,0.13752,0.606297
4920.67,0.171794,0.590028
11384.7,0.118815,0.609094
10150,0.119857,0.594581
11906.7,0.130893,0.570465
14685,0.113147,0.586176
27680.3,0.0995795,0.615046
18967.7,0.114373,0.598299
13345.7,0.115006,0.609961
15986,0.112463,0.623045
14348.3,0.108815,0.584574
7801,0.135147,0.597616
6227,0.159037,0.589208
27899,0.0910752,0.594071
12323.3,0.111251,0.617825
16205,0.110236,0.617155
28121,0.0990598,0.586892
10407.3,0.125924,0.594357
7105,0.15291,0.635468
6270.67,0.15628,0.590262
7803.33,0.122557,0.591371
18520,0.106903,0.549946
11294.7,0.101982,0.589069
7142.33,0.123795,0.571895
3873,0.219504,0.570875
5573,0.164665,0.585502
6134.33,0.148859,0.567081
8909.33,0.127814,0.55657
6447.67,0.115276,0.531562
23540.3,0.104418,0.570411
18021,0.110977,0.581821
7588.67,0.129772,0.582228
18023.3,0.110119,0.571186
15200.7,0.121012,0.609732
14219.3,0.0898575,0.586643
16216.7,0.102966,0.584358
9656,0.141022,0.632146
6174.33,0.128247,0.62884
13474.7,0.11436,0.577033
9231.67,0.116518,0.597003
5819.33,0.133751,0.581968
8044.33,0.111722,0.577135
13732.3,0.113264,0.629366
20698,0.102055,0.600879
25869.3,0.0980574,0.569426
8667.67,0.133122,0.605969
7102.33,0.11741,0.566668
7164,0.136479,0.596315
14192.7,0.116196,0.604702
8407,0.130979,0.610087
10127.7,0.116722,0.651516
15273.7,0.101075,0.598306
14826,0.108918,0.58937
5242,0.150368,0.55227
17235,0.100784,0.58329
6344.67,0.14811,0.53499
9613.33,0.142483,0.617441
26711.7,0.103576,0.586835
9630.67,0.132821,0.625536
16376.7,0.125999,0.581946
16210.7,0.118692,0.584574
14960,0.123421,0.564104
26790.7,0.10442,0.563716
11464,0.102766,0.609211
